name,address,city,zipcode,phone,description,logo_url,user_id,hours,longitude,latitude
13 Below Brewery,7391 Forbes Rd,Cincinnati,45233-1013,5139750613,,,,,-84.70634815,39.12639764
16 Lots Brewing,753 Reading Rd,Mason,45040-1303,5134863672,,,,,-84.3183801,39.3545967
2 Tones Brewing Co.,4539 E Broad St,Whitehall,43213-1308,,,,,,-82.9118174,40.0030689
4kd Crick Brewery,211 Carpenter Rd,Defiance,43512-1718,4199562863,,,,,-84.341647,41.296252
"Actual Brewing Company, LLC",655 N James Rd,Columbus,43219-1837,6146363825,,,,,-82.9080986,39.9868523
Akronym Brewing LLC,58 E Market St,Akron,4430,3306208274,,,,,-81.51645882,41.08512193
Alematic Artisan Ales,,Huber Heights,45424-3857,9376122337,,,,,,
Anheuser-Busch Inc â Columbus,700 Schrock Rd,Columbus,43229-1123,6148886644,,,,,-82.99307,40.102197
Antiques on High,714 S High St,Columbus,43206,614-725-2070,,,,,-82.99774,39.9476
Aqueduct Brewing,529 Grant St Ste 106,Akron,44311-1184,3306066583,,,,,-81.51788487,41.0698532
Bad Tom Smith Brewing,4720 Eastern Ave,Cincinnati,45226-1893,5138714677,,,,,-84.41803086,39.11995755
Bad Tom Smith Brewing,1836 W 25th St,Cleveland,44113-3142,,,,,,-81.7051638,41.4861772
Baithouse Brewery,,Sandusky,44870,4193665372,,,,,,
Bardwell Winery and Brewery,716 N High St,Mount Orab,45154,,,,,,-83.9209789,39.0419795
Barley's Brewing Company (Ale House No. 1),467 N High St,Columbus,43215-2007,6142282537,,,,,-83.0027669,39.9719408
Bascule Brewery And Public House,1397 Colorado Ave,Lorain,44052-3377,,,,,,-82.15710792,41.46560548
Big Ash Brewing Company,,Cincinnati,45244-3244,5133079688,,,,,,
Biker Brew House,5700 Interstate Blvd,Austintown,44515-1170,,,,,,,
BirdFish Brewing Co,16 S Main St,Columbiana,44408-1348,3303339385,,,,,-80.69353036,40.888487
Black Cloister Brewing Co,619 Monroe St,Toledo,43604-1015,4192141500,,,,,-83.5399665,41.6499863
Black Frog Brewing Co,831 S McCord Rd,Holland,43528-8746,4193897136,,,,,-83.7032185,41.6171284
"Bookhouse Brewing, LLC.",,Cleveland,44113-3104,4144264555,,,,,,
Boss Dog Brewing,2179 Lee Rd,Cleveland,44118-2907,2163212337,,,,,-81.56529555,41.50030645
Boston Beer Co - DBA Samuel Adams Brewing Co,1625 Central Pkwy,Cincinnati,45214-2423,6173685000,,,,,-84.5207651,39.11257
BottleHouse Brewery,13368 Madison Ave,Lakewood,44107-4840,2162142120,,,,,-81.78445705,41.47721765
Bowling Green Beer Works,322 N Grove St Ste C,Bowling Green,43402-2322,5122992101,,,,,,
Branch & Bone Artisan Ales,905 Wayne Ave,Dayton,45410-1247,9377237608,,,,,-84.17723419,39.75223085
Brausch Brewery,1030 S South St,Wilmington,45177-2924,9373022337,,,,,-83.83091585,39.43274712
Breaking Point Brewery,,Cleveland Heights,44121-1706,2162357411,,,,,,
Brew Kettle - Production Works,20102 Progress Dr,Strongsville,44149-3259,,,,,,-81.84994566,41.32637626
"BrewDog Brewing Company, LLC",96 Gender Rd,Canal Winchester,43110-7539,6149083059,,,,,-82.8311352,39.8225954
Brewdog Short North & Kennels,1175 N High St,Columbus,43201,614-908-3053,,,,,-83.00579,39.98637
"Brewery 33 Hocking Hills, LLC",12684 College Prospect Dr,Logan,43138-8983,,,,,,-82.44991565,39.54378185
Brick and Barrel,1844 Columbus Rd,Cleveland,44113-2412,5039270629,,,,,-81.7008861,41.4895629
Brim Kitchen and Brewery,3941 Erie St,Willoughby,44094-7704,4402068183,,,,,-81.40637701,41.64346969
Brink Brewing Company,5905 Hamilton Ave,Cincinnati,45224-3045,5138823334,,,,,-84.545876,39.192788
Brubaker's Brewery & Pub,,Sylvania,43560-9586,,,,,,,
Buck's Brewing Co,993 Mount Vernon Rd,Newark,43055-4728,7406412337,,,,,-82.41752143,40.08367829
Buckeye Beer Engine,15315 Madison Ave,Lakewood,44107-4020,2162262337,,,,,-81.803918,41.477245
Buckeye Lake Brewery,5176 Walnut Rd,Buckeye Lake,43008,7405356225,,,,,-82.488973,39.928559
Canton Brewing Company,120 3rd St NW,Canton,44702,,,,,,-81.37453867,40.7998289
Carillon Brewing Company,1000 Carillon Blvd,Dayton,45409-2023,9372932841,,,,,-84.20121,39.730102
Catawba Island Brewing Company,2330 East Harbor Rd,Port Clinton,43452-1517,4199607764,,,,,,
Chagrin Beer Company,178 E Washington St,Chagrin Falls,44022-2978,2166451739,,,,,-81.38518067,41.42999722
Christian Moerlein Brewing Co,1621 Moore St,Cincinnati,45202-6438,5138276025,,,,,-84.51533432,39.11322509
CLE Brewing,9431 Mercantile Dr,Mentor,44060,4405278330,,,,,-81.30644573,41.69622887
Cleveland Brewing Company @ Butcher and The Brewer,2043 E 4th St,Cleveland,44115-1023,,,,,,-81.690036,41.4991502
Clubhouse Brewing Company Ltd,668 N River Rd NW,Warren,44483,3305487854,,,,,-80.82676867,41.26602856
Collision Bend Brewing Co,1250 Old River Rd,Cleveland,44113-1243,2162737879,,,,,-81.7039719,41.49884829
Columbus Brewing Co,2555 Harrison Rd,Columbus,43204-3511,6142243626,,,,,-83.0692897,39.9675898
Combustion Brewery,80 W Church St Ste 101,Pickerington,43147-1484,6143628450,,,,,,
Commonhouse Ales,535 Short St,Columbus,43215-5614,6142530272,,,,,-83.00367741,39.95045334
Cornerstone Brewing Co,58 Front St,Berea,44017-1911,4402399820,,,,,-81.85304867,41.36685385
Cornerstone Brewing Co,70 W  Main St,Madison,44057-3126,4402399820,,,,,-81.04814066,41.77136994
Crooked Handle Brewing Co.,760 N Main St,Springboro,45066-8944,9377903450,,,,,-84.23082816,39.57664643
Crooked Pecker Brewing,,Newbury,44065-9735,4404763427,,,,,,
Dalton Union Winery & Brewery,2110 Shirk Rd,Marysville,43040,9373193667,,,,,,
DankHouse Brewing Company,161 Forry St,Newark,43055-3760,,,,,,-82.41720528,40.0442341
Dayton Beer Co Production Brewery & Bierhall,41 Madison St,Dayton,45402-2105,9372282337,,,,,-84.18528868,39.76226676
Dead Low Brewing,,Cincinnati,45230,5132909434,,,,,,
